image,label
./images/image0-zoom19.png,1
./images/image1-zoom19.png,1
./images/image2-zoom19.png,1
./images/image3-zoom19.png,0
./images/image4-zoom19.png,1
./images/image5-zoom19.png,0
./images/image6-zoom19.png,0
./images/image7-zoom19.png,1
./images/image8-zoom19.png,0
./images/image9-zoom19.png,1
./images/image10-zoom19.png,0
./images/image11-zoom19.png,1
./images/image12-zoom19.png,0
./images/image13-zoom19.png,1
./images/image15-zoom19.png,0
./images/image17-zoom19.png,1
./images/image18-zoom19.png,0
./images/image19-zoom19.png,1
./images/image20-zoom19.png,1
./images/image21-zoom19.png,1
./images/image22-zoom19.png,1
./images/image24-zoom19.png,1
./images/image25-zoom19.png,1
./images/image26-zoom19.png,0
./images/image27-zoom19.png,0
./images/image29-zoom19.png,0
./images/image31-zoom19.png,0
./images/image32-zoom19.png,1
./images/image33-zoom19.png,0
./images/image34-zoom19.png,0
./images/image37-zoom19.png,1
./images/image39-zoom19.png,1
./images/image41-zoom19.png,0
./images/image42-zoom19.png,0
./images/image43-zoom19.png,0
./images/image44-zoom19.png,1
./images/image45-zoom19.png,1
./images/image46-zoom19.png,1
./images/image47-zoom19.png,0
./images/image48-zoom19.png,1
./images/image49-zoom19.png,1
./images/image50-zoom19.png,1
./images/image51-zoom19.png,1
./images/image53-zoom19.png,1
./images/image55-zoom19.png,0
./images/image56-zoom19.png,0
./images/image59-zoom19.png,0
./images/image60-zoom19.png,1
./images/image61-zoom19.png,1
./images/image62-zoom19.png,1
./images/image63-zoom19.png,0
./images/image65-zoom19.png,1
./images/image66-zoom19.png,0
./images/image67-zoom19.png,1
./images/image68-zoom19.png,0
./images/image69-zoom19.png,1
./images/image70-zoom19.png,0
./images/image71-zoom19.png,0
./images/image72-zoom19.png,0
./images/image73-zoom19.png,1
./images/image74-zoom19.png,0
./images/image75-zoom19.png,1
./images/image76-zoom19.png,0
./images/image77-zoom19.png,0
./images/image78-zoom19.png,1
./images/image79-zoom19.png,1
./images/image80-zoom19.png,1
./images/image81-zoom19.png,1
./images/image82-zoom19.png,1
./images/image83-zoom19.png,0
./images/image84-zoom19.png,0
./images/image85-zoom19.png,1
./images/image86-zoom19.png,1
./images/image87-zoom19.png,1
./images/image88-zoom19.png,1
./images/image89-zoom19.png,1
./images/image90-zoom19.png,1
./images/image91-zoom19.png,1
./images/image92-zoom19.png,1
./images/image93-zoom19.png,1
./images/image94-zoom19.png,0
./images/image95-zoom19.png,1
./images/image96-zoom19.png,1
./images/image97-zoom19.png,1
./images/image98-zoom19.png,1
./images/image99-zoom19.png,1
./images/image100-zoom19.png,1
./images/image101-zoom19.png,0
./images/image102-zoom19.png,0
./images/image103-zoom19.png,1
./images/image104-zoom19.png,1
./images/image105-zoom19.png,1
./images/image106-zoom19.png,0
./images/image107-zoom19.png,0
./images/image108-zoom19.png,0
./images/image109-zoom19.png,1
./images/image110-zoom19.png,1
./images/image111-zoom19.png,1
./images/image112-zoom19.png,1
./images/image113-zoom19.png,1
./images/image114-zoom19.png,0
./images/image115-zoom19.png,1
./images/image116-zoom19.png,0
./images/image117-zoom19.png,0
./images/image118-zoom19.png,0
./images/image119-zoom19.png,1
./images/image120-zoom19.png,0
./images/image121-zoom19.png,1
./images/image122-zoom19.png,0
./images/image123-zoom19.png,0
./images/image124-zoom19.png,1
./images/image125-zoom19.png,0
./images/image126-zoom19.png,0
./images/image127-zoom19.png,1
./images/image128-zoom19.png,1
./images/image129-zoom19.png,0
./images/image130-zoom19.png,1
./images/image131-zoom19.png,0
./images/image132-zoom19.png,0
./images/image133-zoom19.png,1
./images/image134-zoom19.png,1
./images/image135-zoom19.png,1
./images/image136-zoom19.png,1
./images/image137-zoom19.png,1
./images/image138-zoom19.png,1
./images/image139-zoom19.png,1
./images/image140-zoom19.png,1
./images/image141-zoom19.png,1
./images/image142-zoom19.png,1
./images/image143-zoom19.png,1
./images/image144-zoom19.png,0
./images/image145-zoom19.png,1
./images/image146-zoom19.png,1
./images/image147-zoom19.png,1
./images/image148-zoom19.png,1
./images/image149-zoom19.png,1
./images/image150-zoom19.png,1
./images/image151-zoom19.png,1
./images/image152-zoom19.png,1
./images/image153-zoom19.png,1
./images/image154-zoom19.png,1
./images/image155-zoom19.png,0
./images/image156-zoom19.png,0
./images/image157-zoom19.png,1
./images/image158-zoom19.png,1
./images/image159-zoom19.png,1
./images/image160-zoom19.png,1
./images/image161-zoom19.png,1
./images/image162-zoom19.png,1
./images/image163-zoom19.png,1
./images/image164-zoom19.png,1
./images/image165-zoom19.png,1
./images/image166-zoom19.png,1
./images/image167-zoom19.png,0
./images/image168-zoom19.png,1
./images/image169-zoom19.png,1
./images/image170-zoom19.png,1
./images/image171-zoom19.png,0
./images/image172-zoom19.png,0
./images/image173-zoom19.png,0
./images/image174-zoom19.png,0
./images/image175-zoom19.png,1
./images/image176-zoom19.png,1
./images/image177-zoom19.png,0
./images/image178-zoom19.png,0
./images/image179-zoom19.png,0
./images/image180-zoom19.png,1
./images/image181-zoom19.png,0
./images/image182-zoom19.png,1
./images/image183-zoom19.png,0
./images/image184-zoom19.png,1
./images/image185-zoom19.png,0
./images/image186-zoom19.png,1
./images/image187-zoom19.png,1
./images/image188-zoom19.png,0
./images/image189-zoom19.png,1
./images/image190-zoom19.png,1
./images/image191-zoom19.png,0
./images/image192-zoom19.png,0
./images/image193-zoom19.png,1
./images/image194-zoom19.png,1
./images/image195-zoom19.png,1
./images/image196-zoom19.png,1
./images/image197-zoom19.png,1
./images/image198-zoom19.png,0
./images/image199-zoom19.png,0
./images/image200-zoom19.png,1
./images/image201-zoom19.png,1
./images/image202-zoom19.png,0
./images/image203-zoom19.png,1
./images/image204-zoom19.png,1
./images/image205-zoom19.png,1
./images/image206-zoom19.png,1
./images/image207-zoom19.png,0
./images/image208-zoom19.png,0
./images/image209-zoom19.png,0
./images/image210-zoom19.png,1
./images/image211-zoom19.png,1
./images/image212-zoom19.png,0
./images/image213-zoom19.png,1
./images/image214-zoom19.png,0
./images/image215-zoom19.png,1
./images/image216-zoom19.png,1
./images/image217-zoom19.png,0
./images/image218-zoom19.png,1
./images/image219-zoom19.png,1
./images/image220-zoom19.png,1
./images/image221-zoom19.png,0
./images/image222-zoom19.png,1
./images/image223-zoom19.png,0
./images/image224-zoom19.png,0
./images/image225-zoom19.png,1
./images/image226-zoom19.png,1
./images/image227-zoom19.png,0
./images/image228-zoom19.png,1
./images/image229-zoom19.png,1
./images/image230-zoom19.png,0
./images/image231-zoom19.png,1
./images/image232-zoom19.png,1
./images/image233-zoom19.png,1
./images/image234-zoom19.png,0
./images/image235-zoom19.png,1
./images/image236-zoom19.png,1
./images/image237-zoom19.png,1
./images/image238-zoom19.png,1
./images/image239-zoom19.png,1
./images/image240-zoom19.png,0
./images/image241-zoom19.png,0
./images/image242-zoom19.png,0
./images/image243-zoom19.png,0
./images/image244-zoom19.png,0
./images/image245-zoom19.png,0
./images/image246-zoom19.png,1
./images/image247-zoom19.png,0
./images/image248-zoom19.png,0
./images/image249-zoom19.png,1
./images/image250-zoom19.png,0
./images/image251-zoom19.png,0
./images/image252-zoom19.png,0
./images/image253-zoom19.png,1
./images/image254-zoom19.png,1
./images/image255-zoom19.png,1
./images/image256-zoom19.png,0
./images/image257-zoom19.png,1
./images/image258-zoom19.png,1
./images/image259-zoom19.png,1
./images/image260-zoom19.png,0
./images/image261-zoom19.png,1
./images/image262-zoom19.png,1
./images/image263-zoom19.png,1
./images/image264-zoom19.png,0
./images/image265-zoom19.png,1
./images/image266-zoom19.png,1
./images/image267-zoom19.png,1
./images/image268-zoom19.png,0
./images/image269-zoom19.png,1
./images/image270-zoom19.png,1
./images/image271-zoom19.png,1
./images/image272-zoom19.png,1
./images/image273-zoom19.png,1
./images/image274-zoom19.png,1
./images/image275-zoom19.png,0
./images/image276-zoom19.png,1
./images/image277-zoom19.png,1
./images/image278-zoom19.png,1
./images/image279-zoom19.png,1
./images/image280-zoom19.png,1
./images/image281-zoom19.png,1
./images/image282-zoom19.png,1
./images/image283-zoom19.png,1
./images/image284-zoom19.png,1
./images/image285-zoom19.png,1
./images/image286-zoom19.png,0
./images/image287-zoom19.png,1
./images/image288-zoom19.png,1
./images/image289-zoom19.png,1
./images/image290-zoom19.png,0
./images/image291-zoom19.png,1
./images/image292-zoom19.png,1
./images/image293-zoom19.png,1
./images/image294-zoom19.png,0
./images/image295-zoom19.png,0
./images/image296-zoom19.png,1
./images/image297-zoom19.png,1
./images/image298-zoom19.png,1
./images/image299-zoom19.png,1
./images/image300-zoom19.png,1
./images/image301-zoom19.png,1
./images/image302-zoom19.png,1
./images/image303-zoom19.png,0
./images/image304-zoom19.png,1
./images/image305-zoom19.png,0
./images/image306-zoom19.png,0
./images/image307-zoom19.png,0
./images/image308-zoom19.png,0
./images/image309-zoom19.png,1
./images/image310-zoom19.png,1
./images/image311-zoom19.png,1
./images/image312-zoom19.png,1
./images/image313-zoom19.png,0
./images/image314-zoom19.png,0
./images/image315-zoom19.png,1
./images/image316-zoom19.png,1
./images/image317-zoom19.png,0
./images/image318-zoom19.png,1
./images/image319-zoom19.png,1
./images/image320-zoom19.png,0
./images/image321-zoom19.png,1
./images/image322-zoom19.png,0
./images/image323-zoom19.png,0
./images/image324-zoom19.png,1
./images/image325-zoom19.png,0
./images/image326-zoom19.png,0
./images/image327-zoom19.png,0
./images/image328-zoom19.png,1
./images/image329-zoom19.png,1
./images/image330-zoom19.png,1
./images/image331-zoom19.png,1
./images/image332-zoom19.png,1
./images/image333-zoom19.png,1
./images/image334-zoom19.png,1
./images/image335-zoom19.png,1
./images/image336-zoom19.png,1
./images/image337-zoom19.png,1
./images/image338-zoom19.png,1
./images/image339-zoom19.png,0
./images/image340-zoom19.png,1
./images/image341-zoom19.png,1
./images/image342-zoom19.png,1
./images/image343-zoom19.png,0
./images/image344-zoom19.png,0
./images/image345-zoom19.png,1
./images/image346-zoom19.png,0
./images/image347-zoom19.png,1
./images/image348-zoom19.png,1
./images/image349-zoom19.png,0
./images/image350-zoom19.png,0
./images/image351-zoom19.png,1
./images/image352-zoom19.png,1
./images/image353-zoom19.png,0
./images/image354-zoom19.png,1
./images/image355-zoom19.png,0
./images/image356-zoom19.png,1
./images/image357-zoom19.png,1
./images/image358-zoom19.png,1
./images/image359-zoom19.png,1
./images/image360-zoom19.png,1
./images/image361-zoom19.png,1
./images/image362-zoom19.png,0
./images/image363-zoom19.png,0
./images/image364-zoom19.png,0
./images/image365-zoom19.png,0
./images/image366-zoom19.png,0
./images/image367-zoom19.png,0
./images/image368-zoom19.png,1
./images/image369-zoom19.png,0
./images/image370-zoom19.png,0
./images/image371-zoom19.png,0
./images/image372-zoom19.png,0
./images/image373-zoom19.png,0
./images/image374-zoom19.png,0
./images/image375-zoom19.png,0
./images/image376-zoom19.png,0
./images/image377-zoom19.png,1
./images/image378-zoom19.png,1
./images/image379-zoom19.png,0
./images/image380-zoom19.png,0
./images/image381-zoom19.png,0
./images/image382-zoom19.png,1
./images/image383-zoom19.png,1
./images/image384-zoom19.png,1
./images/image385-zoom19.png,0
./images/image386-zoom19.png,0
./images/image387-zoom19.png,0
./images/image388-zoom19.png,1
./images/image389-zoom19.png,1
./images/image390-zoom19.png,0
./images/image391-zoom19.png,0
./images/image392-zoom19.png,0
./images/image393-zoom19.png,0
./images/image394-zoom19.png,1
./images/image395-zoom19.png,1
./images/image396-zoom19.png,0
./images/image397-zoom19.png,0
./images/image398-zoom19.png,0
./images/image399-zoom19.png,1
./images/image400-zoom19.png,0
./images/image401-zoom19.png,1
./images/image402-zoom19.png,1
./images/image403-zoom19.png,0
./images/image404-zoom19.png,0
./images/image405-zoom19.png,0
./images/image406-zoom19.png,1
./images/image407-zoom19.png,0
./images/image408-zoom19.png,1
./images/image409-zoom19.png,0
./images/image410-zoom19.png,1
./images/image411-zoom19.png,0
./images/image412-zoom19.png,1
./images/image413-zoom19.png,1
./images/image414-zoom19.png,0
./images/image415-zoom19.png,1
./images/image416-zoom19.png,0
./images/image417-zoom19.png,0
./images/image418-zoom19.png,1
./images/image419-zoom19.png,1
